,inicio,varinicio,varfim,leia,escreva,se,entao,fimse,fimrepita,fim,repita,inteiro,real,lit,PT_V,id,vir,literal,Num,ATR,OPM,AB_P,FC_P,OPRD,$
0,S2,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,aceita
2,,S4,,,,,,,,,,,,,,,,,,,,,,,
3,,,,S25,S26,S30,,,,S24,S31,,,,,S27,,,,,,,,,
4,,,S7,,,,,,,,,S9,S10,S11,,,,,,,,,,,
5,,,,R3,R3,R3,,,,R3,R3,,,,,R3,,,,,,,,,
6,,,S7,,,,,,,,,S9,S10,S11,,,,,,,,,,,
7,,,,,,,,,,,,,,,S13,,,,,,,,,,
8,,,,,,,,,,,,,,,,S15,,,,,,,,,
9,,,,,,,,,,,,,,,,R9,,,,,,,,,
10,,,,,,,,,,,,,,,,R10,,,,,,,,,
11,,,,,,,,,,,,,,,,R11,,,,,,,,,
12,,,,R4,R4,R4,,,,R4,R4,,,,,R4,,,,,,,,,
13,,,,R5,R5,R5,,,,R5,R5,,,,,R5,,,,,,,,,
14,,,,,,,,,,,,,,,S16,,,,,,,,,,
15,,,,,,,,,,,,,,,R8,,S17,,,,,,,,
16,,,R6,,,,,,,,,R6,R6,R6,,,,,,,,,,,
17,,,,,,,,,,,,,,,,S15,,,,,,,,,
18,,,,,,,,,,,,,,,R7,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,R2
20,,,,S25,S26,S30,,,,S24,S31,,,,,S27,,,,,,,,,
21,,,,S25,S26,S30,,,,S24,S31,,,,,S27,,,,,,,,,
22,,,,S25,S26,S30,,,,S24,S31,,,,,S27,,,,,,,,,
23,,,,S25,S26,S30,,,,S24,S31,,,,,S27,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,R39
25,,,,,,,,,,,,,,,,S35,,,,,,,,,
26,,,,,,,,,,,,,,,,S41,,S39,S40,,,,,,
27,,,,,,,,,,,,,,,,,,,,S42,,,,,
28,,,,S25,S26,S30,,S54,,,,,,,,S27,,,,,,,,,
29,,,,S25,S26,S30,,,S62,,,,,,,S27,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,S66,,,
31,,,,,,,,,,,,,,,,,,,,,,S67,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,R12
33,,,,,,,,,,,,,,,,,,,,,,,,,R18
34,,,,,,,,,,,,,,,,,,,,,,,,,R24
35,,,,,,,,,,,,,,,S36,,,,,,,,,,
36,,,,R13,R13,R13,,R13,R13,R13,R13,,,,,R13,,,,,,,,,
37,,,,,,,,,,,,,,,S38,,,,,,,,,,
38,,,,R14,R14,R14,,R14,R14,R14,R14,,,,,R14,,,,,,,,,
39,,,,,,,,,,,,,,,R15,,,,,,,,,,
40,,,,,,,,,,,,,,,R40,,,,,,,,,,
41,,,,,,,,,,,,,,,R17,,,,,,,,,,
42,,,,,,,,,,,,,,,,S48,,,S49,,,,,,
43,,,,,,,,,,,,,,,S44,,,,,,,,,,
44,,,,R19,R19,R19,,R19,R19,R19,R19,,,,,R19,,,,,,,,,
45,,,,,,,,,,,,,,,R21,,,,,,S46,,,,
46,,,,,,,,,,,,,,,,S48,,,S49,,,,,,
47,,,,,,,,,,,,,,,R20,,,,,,,,,,
48,,,,,,,,,,,,,,,R22,,,,,,R22,,R22,R22,
49,,,,,,,,,,,,,,,R23,,,,,,R23,,R23,R23,
50,,,,R25,R25,R25,,R25,R25,R25,R25,,,,,R25,,,,,,,,,
51,,,,S25,S26,S30,,S54,,,,,,,,S27,,,,,,,,,
52,,,,S25,S26,S30,,S54,,,,,,,,S27,,,,,,,,,
53,,,,S25,S26,S30,,S54,,,,,,,,S27,,,,,,,,,
54,,,,R31,R31,R31,,R31,R31,R31,R31,,,,,R31,,,,,,,,,
55,,,,R28,R28,R28,,R28,R28,R28,R28,,,,,R28,,,,,,,,,
56,,,,R29,R29,R29,,R29,R29,R29,R29,,,,,R29,,,,,,,,,
57,,,,R30,R30,R30,,R30,R30,R30,R30,,,,,R30,,,,,,,,,
58,,,,R33,R33,R33,,,,R33,R33,,,,,R33,,,,,,,,,
59,,,,S25,S26,S30,,,S62,,,,,,,S27,,,,,,,,,
60,,,,S25,S26,S30,,,S62,,,,,,,S27,,,,,,,,,
61,,,,S25,S26,S30,,,S62,,,,,,,S27,,,,,,,,,
62,,,,R38,R38,R38,,,,R38,R38,,,,,R38,,,,,,,,,
63,,,,R35,R35,R35,,,,R35,R35,,,,,R35,,,,,,,,,
64,,,,R36,R36,R36,,,,R36,R36,,,,,R36,,,,,,,,,
65,,,,R37,R37,R37,,,,R37,R37,,,,,R37,,,,,,,,,
66,,,,,,,,,,,,,,,,S48,,,S49,,,,,,
67,,,,,,,,,,,,,,,,S48,,,S49,,,,,,
68,,,,,,,,,,,,,,,,,,,,,,,S69,,
69,,,,,,,S70,,,,,,,,,,,,,,,,,,
70,,,,R26,R26,R26,,R26,,,,,,,,R26,,,,,,,,,
71,,,,,,,,,,,,,,,,S48,,,S49,,,,,S73,
72,,,,,,,,,,,,,,,,,,,,,,,S75,,
73,,,,,,,,,,,,,,,,,,,S49,,,,,,
74,,,,,,,,,,,,,,,,,,,,,,,R27,,
75,,,,R34,R34,R34,,,R34,,,,,,,R34,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,,,,,,,R32
,,,,,,,,,,,,,,,,,,,,,,,,,
