Estado,NaoTerminal,Follow,Quantidades
0,P',$,0
1,,,
2,,,
3,,,
4,V,fim leia escreva id enquanto se,1
5,,,
6,,,
7,LV,leia escreva id se repita fim,1
8,L,;,1
9,,,
10,,,
11,,,
12,LV,leia escreva id se repita fim,1
13,,,
14,,,
15,L,;,1
16,D,inteiro real literal varfim,1
17,L,;,1
18,,,
19,LV,fim leia escreva id enquanto se,1
20,A,$,1
21,A,$,1
22,A,$,1
23,A,$,1
24,,,
25,,,
26,,,
27,,,
28,COND,leia escreva id se repita fim fimse fimrepita,1
29,R,leia escreva id se repita fim,1
30,,,
31,,,
32,,,
33,,,
34,,,
35,ES,leia escreva id se repita fim fimse fimrepita,1
36,,,
37,ES,leia escreva id se repita fim fimse fimrepita,1
38,,,
39,,,
40,,,
41,,,
42,LD,;,2
43,CMD,leia escreva id se repita fim fimse fimrepita,1
44,LD,;,1
45,,,
46,LD,;,1
47,,,
48,,,
49,,,
50,,,
51,CP,leia, escreva id se repita fim fimse fimrepita,1
52,CP,leia, escreva id se repita fim fimse fimrepita,1
53,CP,leia, escreva id se repita fim fimse fimrepita,1
54,,,
55,,,
56,,,
57,,,
58,,,
59,CPR,leia escreva id se repita fim,1
60,CPR,leia escreva id se repita fim,1
61,CPR,leia escreva id se repita fim,1
62,,,
63,,,
64,,,
65,,,
66,,,
67,,,
68,,,
69,,,
70,,,
71,,,
72,CABR,leia escreva id se fimrepita,1
73,EXP_R,),1
74,,,
75,,,
76,,,
